array_shape,baseline_dram_reads,baseline_dram_writes,baseline_memory_stall_cycles,baseline_over_kv_cycle_ratio,baseline_stage_names,baseline_total_cycles,baseline_total_dram,baseline_total_sram,baseline_weighted_pe_utilization,batch_size,decode_tokens,dram_read_ratio_baseline_over_kv,dram_write_ratio_baseline_over_kv,experiment_id,head_dim,kv_dram_reads,kv_dram_writes,kv_heads,kv_memory_stall_cycles,kv_over_baseline_cycle_ratio,kv_preload_bandwidth_cycles,kv_stage_names,kv_total_cycles,kv_total_dram,kv_total_sram,kv_weighted_pe_utilization,memory_stall_cycles_delta_kv_minus_baseline,precision,query_heads,sequence_length,sram_ratio_baseline_over_kv,total_dram_ratio_baseline_over_kv,weighted_pe_utilization_delta_kv_minus_baseline
16x16,148480.0,16896.0,0.0,0.06515729049943192,score_gemm|softmax_reduce|value_gemm|writeback,41692.0,165376.0,165376.0,0.13158399692986664,1,1,0.5653021442495126,33.0,29,64,262656.0,512.0,2,0.0,15.347476734145639,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,639867.0,263168.0,1608192.0,0.512793283604249,0.0,int8,8,1024,0.10283349251830627,0.6284046692607004,0.38120928667438236
32x32,10240.0,1536.0,0.0,0.057629209325274454,score_gemm|softmax_reduce|value_gemm|writeback,2336.0,11776.0,11776.0,0.03767123287671233,1,1,0.6060606060606061,3.0,3,64,16896.0,512.0,2,0.0,17.352311643835616,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,40535.0,17408.0,102912.0,0.2594571049710127,0.0,int8,8,64,0.11442786069651742,0.6764705882352942,0.2217858720943004
32x32,148480.0,16896.0,0.0,0.058721781308603484,score_gemm|softmax_reduce|value_gemm|writeback,37106.0,165376.0,165376.0,0.03612623295423921,1,1,0.5653021442495126,33.0,30,64,262656.0,512.0,2,0.0,17.029456152643778,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,631895.0,263168.0,1608192.0,0.25972209583870737,0.0,int8,8,1024,0.10283349251830627,0.6284046692607004,0.22359586288446814
8x8,200704.0,67584.0,0.0,0.08174577384149487,score_gemm|softmax_reduce|value_gemm|writeback,206528.0,268288.0,268288.0,0.44468546637744033,1,4,0.7596899224806202,33.0,31,64,264192.0,2048.0,2,0.0,12.23304830337775,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2526467.0,266240.0,4859904.0,0.9999667519900319,0.0,int8,8,1024,0.05520438263801096,1.0076923076923077,0.5552812856125916
16x16,200704.0,67584.0,0.0,0.0593301732747319,score_gemm|softmax_reduce|value_gemm|writeback,148936.0,268288.0,268288.0,0.17494762851157544,1,4,0.7596899224806202,33.0,32,64,264192.0,2048.0,2,0.0,16.854830262663157,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2510291.0,266240.0,4859904.0,0.9999820737914449,0.0,int8,8,1024,0.05520438263801096,1.0076923076923077,0.8250344452798695
32x32,200704.0,67584.0,0.0,0.05410903709693594,score_gemm|softmax_reduce|value_gemm|writeback,135434.0,268288.0,268288.0,0.06245108318442932,1,4,0.7596899224806202,33.0,33,64,264192.0,2048.0,2,0.0,18.481201175480308,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,2502983.0,266240.0,4859904.0,0.9999860666253026,0.0,int8,8,1024,0.05520438263801096,1.0076923076923077,0.9375349834408734
8x8,270336.0,135168.0,0.0,0.08227940009119226,score_gemm|softmax_reduce|value_gemm|writeback,413056.0,405504.0,405504.0,0.44468546637744033,1,8,1.0153846153846153,33.0,34,64,266240.0,4096.0,2,0.0,12.153710392779672,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,5020163.0,270336.0,9195520.0,0.999966534951156,0.0,int8,8,1024,0.044097995545657014,1.5,0.5552810685737156
16x16,270336.0,135168.0,0.0,0.059524458978916686,score_gemm|softmax_reduce|value_gemm|writeback,297872.0,405504.0,405504.0,0.17494762851157544,1,8,1.0153846153846153,33.0,35,64,266240.0,4096.0,2,0.0,16.799816699790515,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,5004195.0,270336.0,9195520.0,0.99998201508934,0.0,int8,8,1024,0.044097995545657014,1.5,0.8250343865777646
32x32,270336.0,135168.0,0.0,0.054197761362015186,score_gemm|softmax_reduce|value_gemm|writeback,270868.0,405504.0,405504.0,0.06245108318442932,1,8,1.0153846153846153,33.0,36,64,266240.0,4096.0,2,0.0,18.45094658652923,32768.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,4997771.0,270336.0,9195520.0,0.9999860437783163,0.0,int8,8,1024,0.044097995545657014,1.5,0.9375349605938871
8x8,16384.0,6144.0,0.0,0.0812782949443261,score_gemm|softmax_reduce|value_gemm|writeback,13088.0,22528.0,22528.0,0.45232273838630804,1,4,0.8888888888888888,3.0,4,64,18432.0,2048.0,2,0.0,12.30340770171149,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,161027.0,20480.0,313344.0,0.9994783483515187,0.0,int8,8,64,0.0718954248366013,1.1,0.5471556099652106
16x16,16384.0,6144.0,0.0,0.05852282302713297,score_gemm|softmax_reduce|value_gemm|writeback,9376.0,22528.0,22528.0,0.18088737201365188,1,4,0.8888888888888888,3.0,5,64,18432.0,2048.0,2,0.0,17.087350682593858,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,160211.0,20480.0,313344.0,0.9997191204099594,0.0,int8,8,64,0.0718954248366013,1.1,0.8188317483963075
32x32,16384.0,6144.0,0.0,0.05295703779353979,score_gemm|softmax_reduce|value_gemm|writeback,8504.0,22528.0,22528.0,0.06679209783631232,1,4,0.8888888888888888,3.0,6,64,18432.0,2048.0,2,0.0,18.883231420507997,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,160583.0,20480.0,313344.0,0.999782822590187,0.0,int8,8,64,0.0718954248366013,1.1,0.9329907247538747
8x8,24576.0,12288.0,0.0,0.08179923313218938,score_gemm|softmax_reduce|value_gemm|writeback,26176.0,36864.0,36864.0,0.45232273838630804,1,8,1.2,3.0,7,64,20480.0,4096.0,2,0.0,12.22505348410758,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,320003.0,24576.0,593920.0,0.9994750049218288,0.0,int8,8,64,0.06206896551724138,1.5,0.5471522665355208
16x16,24576.0,12288.0,0.0,0.05871100048529251,score_gemm|softmax_reduce|value_gemm|writeback,18752.0,36864.0,36864.0,0.18088737201365188,1,8,1.2,3.0,8,64,20480.0,4096.0,2,0.0,17.032583191126278,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,319395.0,24576.0,593920.0,0.9997182172544968,0.0,int8,8,64,0.06206896551724138,1.5,0.8188308452408449
32x32,24576.0,12288.0,0.0,0.053042092493084385,score_gemm|softmax_reduce|value_gemm|writeback,17008.0,36864.0,36864.0,0.06679209783631232,1,8,1.2,3.0,9,64,20480.0,4096.0,2,0.0,18.852951552210726,2048.0,kv_preload|query_stream|online_softmax_accum|final_normalize|writeback,320651.0,24576.0,593920.0,0.999782473779904,0.0,int8,8,64,0.06206896551724138,1.5,0.9329903759435917
